GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,OBJECTID
55001,County,Adams,2020/10/27 19:00:00+00,502,36,5029,39,5,0,75,35,304,163,242,258,-999,19,31,64,56,54,82,117,61,16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,445,19,26,41,395,66,-999,-999,-999,5,-999,-999,-999,-999,-999,12,176,314,344560
55003,County,Ashland,2020/10/27 19:00:00+00,274,5,4072,23,3,0,28,15,56,203,136,138,-999,-999,37,57,34,24,46,43,22,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,48,-999,-999,166,-999,54,-999,184,88,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,83,189,344590
55005,County,Barron,2020/10/27 19:00:00+00,1093,31,12014,59,6,0,90,45,646,402,531,560,-999,26,134,170,164,168,177,143,72,33,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,5,101,754,120,108,161,804,128,-999,-999,-999,5,-999,-999,-999,5,-999,42,511,540,344604
55007,County,Bayfield,2020/10/27 19:00:00+00,225,4,3931,23,2,1,27,11,88,126,113,112,-999,6,21,42,26,27,40,35,22,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,34,-999,-999,131,5,54,-999,153,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,11,73,141,344636
55009,County,Brown,2020/10/27 19:00:00+00,15103,515,92691,594,93,4,1109,542,9200,5361,7578,7512,13,539,1465,3441,2553,2299,2316,1416,688,292,94,35,58,-999,-999,-999,-999,-999,-999,10,22,17,20,17,603,381,573,10971,1389,1186,2788,10424,1891,5,5,7,73,-999,-999,16,75,-999,621,5635,8847,344664
55011,County,Buffalo,2020/10/27 19:00:00+00,262,9,3152,23,3,0,32,20,206,36,119,143,-999,5,36,41,35,41,45,33,15,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,249,7,-999,13,244,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,191,46,344789
55013,County,Burnett,2020/10/27 19:00:00+00,308,11,3623,24,6,0,35,34,224,50,153,155,-999,-999,16,22,18,24,76,79,52,16,-999,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,20,-999,-999,256,5,23,-999,277,27,-999,-999,-999,6,-999,-999,-999,6,-999,17,171,120,344800
55015,County,Calumet,2020/10/27 19:00:00+00,2676,48,13390,178,11,0,226,98,1736,842,1375,1300,-999,98,260,411,413,411,527,335,132,64,25,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,10,31,29,2242,104,260,184,2049,443,-999,-999,-999,8,-999,-999,-999,11,-999,107,1034,1535,344826
55017,County,Chippewa,2020/10/27 19:00:00+00,1581,48,18568,181,11,0,229,57,897,627,747,823,11,66,133,276,269,244,271,175,96,44,7,5,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,5,14,24,1329,15,194,19,1332,230,-999,-999,-999,11,-999,-999,-999,11,-999,63,471,1047,344858
55019,County,Clark,2020/10/27 19:00:00+00,867,41,6892,55,15,0,96,52,561,254,472,394,-999,38,74,157,112,124,142,111,59,32,18,7,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,544,14,308,157,464,246,-999,-999,-999,15,-999,-999,-999,13,-999,22,98,747,344891
